1	41	3	34
6	14	0	28
4	23	6	39
3	25	3	11
2	13	7	22
33	10	48	16
0	16	2	34
35	2	23	1
30	1	33	8
17	4	23	5
4	30	7	32
1	15	5	43
2	17	7	24
1	34	1	35
3	30	7	39
6	30	5	39
24	1	21	8
43	11	24	8
17	0	53	0
3	37	0	35
12	29	5	18
7	36	13	33
31	5	32	2
0	27	0	23
28	0	28	2
23	0	33	0
14	16	19	20
10	36	8	43
2	20	2	31
1	27	0	44
22	0	26	3
26	12	14	6
46	13	31	5
21	4	28	2
22	1	27	0
2	36	6	29
10	27	16	23
4	40	0	21
50	2	17	0
16	4	34	3
43	12	19	8
25	8	7	8
43	2	15	0
4	12	6	50
5	28	5	24
4	47	0	32
0	44	0	39
0	32	1	15
11	2	32	0
50	0	43	1
6	30	2	17
31	4	26	4
32	3	32	1
3	27	7	25
3	30	5	33
0	36	10	46
29	2	34	0
2	11	15	29
39	1	39	1
20	33	7	32
33	7	22	2
7	37	7	27
0	21	1	41
28	3	17	1
3	24	4	60
22	5	29	0
9	41	6	30
8	30	11	33
19	20	22	24
27	6	26	3
30	4	26	2
26	7	25	23
6	26	8	39
10	35	3	27
5	25	5	15
0	34	0	27
22	2	16	2
0	34	0	26
2	44	3	39
29	3	13	1
13	19	7	7
21	4	48	0
1	25	0	18
4	19	18	42
5	26	1	17
0	28	0	43
17	37	2	53
35	0	18	0
35	15	24	3
2	29	4	30
53	2	32	6
38	0	29	0
1	29	2	12
0	19	1	36
1	23	4	45
28	0	26	0
0	26	6	33
4	15	8	27
16	37	7	19
5	42	0	27
7	34	6	37
38	1	26	0
0	25	0	16
6	16	12	18
21	3	20	4
23	6	15	8
4	54	2	19
40	2	32	0
19	3	29	4
48	2	30	2
32	4	23	4
8	27	12	25
25	2	48	0
8	56	4	39
9	52	0	30
21	2	33	4
29	4	26	3
21	3	37	6
34	4	20	4
34	7	20	10
6	35	2	16
3	30	3	13
1	18	5	27
5	33	1	22
4	9	3	13
5	29	4	29
39	0	39	0
15	18	8	25
39	2	30	0
3	38	4	37
8	18	4	29
39	6	34	4
21	1	15	0
0	39	0	12
3	36	0	28
2	18	1	39
17	53	7	25
3	40	9	46
4	23	1	45
11	23	10	17
39	1	35	0
29	3	38	1
4	36	0	20
6	37	3	16
5	16	1	25
22	7	43	10
4	44	2	37
9	3	20	2
3	34	1	39
15	24	17	7
7	36	4	20
3	40	0	30
0	39	8	35
22	3	12	4
31	0	31	3
